DataSet,NodeCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,105
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,57
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,54
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,18
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,16
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,14
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,70
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,123
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,33
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,43
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,53
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,13
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,71
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,34
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,109
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,104
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,50
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,55
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,149
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,61
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,27
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,38
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,149
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,22
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,30
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,54
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,243
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,108
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,26
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,32
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,16
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,227
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,62
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,41
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,83
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,11
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,98
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,71
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,34
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,175
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,39
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,299
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,82
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,81
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,55
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,118
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,160
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,24
BarabasiAlbert,200,0.05925,10.0,0,0.8,0.1,5,0
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,18
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,101
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,66
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,14
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,42
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,157
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,68
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,6
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,263
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,58
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,75
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,110
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,95
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,186
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,72
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,166
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,54
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,51
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,180
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,187
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,207
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,99
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,162
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,34
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,127
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,35
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,32
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,43
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,7
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,6
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,2
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,124
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,33
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,40
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,34
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,52
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,108
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,57
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,154
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,108
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,146
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,379
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,225
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,124
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,10
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,114
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,43
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,54
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,90
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,23
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,82
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,75
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,251
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,27
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,22
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,101
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,27
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,116
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,47
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,42
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,25
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,39
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,30
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,138
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,266
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,14
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,106
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,21
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,98
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,115
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,77
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,114
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,25
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,190
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,63
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,55
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,11
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,7
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,86
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,9
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,102
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,51
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,56
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,76
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,283
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,116
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,56
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,298
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,54
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,4
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,332
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,81
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,8
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,31
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,38
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,191
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,278
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,137
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,159
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,215
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,9
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,4
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,213
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,23
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,103
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,93
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,88
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,31
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,199
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,50
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,24
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,19
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,61
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,91
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,74
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,10
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,185
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,41
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,33
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,184
BarabasiAlbert,200,0.05925,10.0,0,0.8,0.1,5,0
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,32
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,110
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,16
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,45
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,129
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,40
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,26
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,82
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,72
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,110
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,67
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,175
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,78
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,39
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,72
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,208
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,258
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,75
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,176
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,10
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,62
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,289
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,23
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,44
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,104
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,180
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,150
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,70
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,13
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,116
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,72
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,165
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,68
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,195
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,47
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,188
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,71
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,108
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,138
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,28
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,81
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,169
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,223
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,44
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,91
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,70
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,13
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,79
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,105
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,182
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,276
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,122
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,8
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,56
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,76
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,130
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,78
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,150
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,70
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,10
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,127
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,151
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,170
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,26
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,87
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,34
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,126
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,28
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,121
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,131
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,53
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,126
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,168
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,97
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,27
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,25
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,63
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,6
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,4
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,63
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,125
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,44
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,62
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,16
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,96
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,8
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,48
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,52
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,222
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,340
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,124
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,38
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,9
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,121
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,3
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,50
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,49
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,2
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,41
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,72
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,78
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,13
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,161
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,21
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,9
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,63
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,22
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,163
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,35
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,68
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,22
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,16
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,26
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,98
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,32
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,110
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,68
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,30
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,8
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,129
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,187
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,93
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,94
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,33
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,203
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,169
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,91
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,132
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,7
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,25
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,55
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,123
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,216
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,73
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,43
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,81
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,65
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,29
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,43
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,196
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,76
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,6
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,74
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,4
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,19
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,26
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,49
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,61
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,80
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,47
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,211
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,59
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,25
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,38
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,32
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,33
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,91
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,52
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,17
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,30
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,50
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,60
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,174
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,12
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,77
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,222
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,15
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,103
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,5
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,63
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,238
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,28
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,24
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,113
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,51
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,174
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,20
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,38
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,130
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,40
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,177
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,65
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,71
BarabasiAlbert,200,0.05925,10.0,1,0.8,0.1,5,1
BarabasiAlbert,200,0.05925,10.0,2,0.8,0.1,5,92
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,37
BarabasiAlbert,200,0.05925,10.0,3,0.8,0.1,5,137
