DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,19
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,18
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,11
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,22
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,36
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,21
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,24
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,36
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,24
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,18
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,22
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,11
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,21
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,13
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,38
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,21
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,20
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,20
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,23
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,21
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,18
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,14
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,14
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,11
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,19
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,13
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,13
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.04950,10.0,0,0.8,0.1,1,2
