DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,67
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,29
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,29
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,36
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,62
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,40
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,43
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,21
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,26
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,27
BarabasiAlbert,200,1,0.03970,0.0,-1,0.8,0,0.75,0
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,78
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,21
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,40
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,47
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,17
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,27
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,20
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,25
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,-1,0.8,0,0.75,0
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,30
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,24
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,17
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,25
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,28
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,48
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,17
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,19
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,57
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,23
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,40
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,33
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,29
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,37
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,42
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,39
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,17
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,38
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,17
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,27
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,23
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,51
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,25
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,49
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,47
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,35
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,32
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,34
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,47
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,20
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,34
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,28
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,63
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,30
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,52
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,41
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,24
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,41
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,32
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,30
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,35
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,74
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,77
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,20
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,-1,0.8,0,0.75,0
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,19
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,36
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,19
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,28
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,35
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,28
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,20
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,24
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,20
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,28
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,26
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,38
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,80
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,25
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,19
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,14
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,24
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,4,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,29
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,39
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,31
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,19
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,25
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,34
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,9
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,52
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,12
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,29
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,38
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,11
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,8
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,3
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,22
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,4
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,10
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,5
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,13
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,6
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,15
BarabasiAlbert,200,1,0.03970,0.0,1,0.8,0,0.75,1
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,44
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,7
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,16
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,18
BarabasiAlbert,200,1,0.03970,0.0,2,0.8,0,0.75,2
BarabasiAlbert,200,1,0.03970,0.0,3,0.8,0,0.75,25
